org_name,final_grade,n,cik,evidence
"Xerox State Healthcare, LLC",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Yahoo,VERIFIED-GATE1,1,1011006.0,Gate1-B: YHOO registrant (later Altaba)
Yahoo Inc.,VERIFIED-GATE1,2,1011006.0,Gate1-B: YHOO registrant (later Altaba)
Yahoo! Inc.,VERIFIED-GATE1,2,1011006.0,Gate1-B: YHOO registrant (later Altaba)
Yahoo! Voices,VERIFIED-GATE1,1,1011006.0,Gate1-B: YHOO registrant (later Altaba)
"Yahoo, Inc.",VERIFIED-GATE1,1,1011006.0,Gate1-B: YHOO registrant (later Altaba)
"Yum! Brands, Inc.",VERIFIED,2,1041061.0,EDGAR name: TRICON GLOBAL RESTAURANTS INC
Zscaler Inc.,VERIFIED,1,1713683.0,"EDGAR name: ZSCALER, INC."
"Zscaler, Inc.",VERIFIED,1,1713683.0,"EDGAR name: ZSCALER, INC."
iHeart Media Inc,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"iHeartMedia + Entertainment, Inc.",VERIFIED,5,1457738.0,"EDGAR name: CLEAR CHANNEL BROADCASTING, INC."
"oneZero Financial Systems, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
salesforce.com,VERIFIED,1,1108524.0,EDGAR name: SALESFORCE COM INC
