org_name,normalized,candidates
MGM Resorts International,MGM RESORTS INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Microsoft Corporation,MICROSOFT,None
Microsoft Corporation,MICROSOFT,None
Microsoft Corporation,MICROSOFT,None
Microsoft Corporation,MICROSOFT,None
MNP Corporation,MNP,None
"Morgan Brown & Joy, LLP",MORGAN BROWN & JOY LLP,Keycomm Voice & Data Services LLP (overlap=2); Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
"Morgan Industrial, Inc.",MORGAN INDUSTRIAL,"Tiger Industrial Engineering Corp. (overlap=1); Industrial Communications & Electronics, Inc. (overlap=1); Industrial Communications & Electronics, Inc. (overlap=1)"
"Morgan Industrial, Inc. dba Omega Morgan",MORGAN INDUSTRIAL INC DBA OMEGA MORGAN,"Rio Virgin Telephone Co Inc. dba Reliance Connects (overlap=2); Cascade Utilities, Inc. dba Reliance Connects (overlap=2); Troy Tel. Co. Inc. dba TDS Telecom (overlap=2)"
"Morgan Truck Body, LLC",MORGAN TRUCK BODY,William A. Morgan (overlap=1); William A. Morgan (overlap=1); Mardi Gras Truck Stop (overlap=1)
Motorola Mobility Inc.,MOTOROLA MOBILITY,"SNET Mobility, Inc. (overlap=1); Bell Mobility (overlap=1); BellSouth Mobility (overlap=1)"
"Motorola Mobility, Inc.",MOTOROLA MOBILITY,"SNET Mobility, Inc. (overlap=1); Bell Mobility (overlap=1); BellSouth Mobility (overlap=1)"
"Motorola, Inc.",MOTOROLA,"Motorola Solutions Connectivity, Inc. (overlap=1)"
"Motorola, Inc.",MOTOROLA,"Motorola Solutions Connectivity, Inc. (overlap=1)"
MSX International Inc.,MSX INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
MSX International Inc.,MSX INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"MW Industries, Inc.",MW INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"National Presto Industries, Inc.",NATIONAL PRESTO INDUSTRIES,"National Railroad Passenger Corporation (Amtrak) (overlap=1); National Brands, Inc. (overlap=1); National Brands, Inc. & Sharenet Communications Company (overlap=1)"
NBC Sports Group,NBC SPORTS GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
NBC Sports Group,NBC SPORTS GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
NBC Sports Group,NBC SPORTS GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
NCH Corporation,NCH,None
NCH Corporation,NCH,None
NCH Corporation,NCH,None
"NCO Financial Systems, Inc.",NCO FINANCIAL SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
"Newcourse Communications, Inc.",NEWCOURSE COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
"Newcourse Communications, Inc.",NEWCOURSE COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
"NextGen Healthcare, Inc.",NEXTGEN HEALTHCARE,"NextGen Telephone, Inc. (overlap=1); NextGen Telephone, Inc. (overlap=1); NextGen Telephone, Inc. (overlap=1)"
Nokia Inc.,NOKIA,None
"Nokia Networks and Solutions US, LLC",NOKIA NETWORKS AND SOLUTIONS US,"OutsourceIT Inc., NITEL, N.I. Investments, LLC, and Queo Solutions, Inc. (overlap=2); Dobson Technologies, Transport and Telecom Solutions, LLC. (overlap=2); CMC Networks Solutions, LLC (overlap=2)"
"Nokia Networks and Solutions US, LLC",NOKIA NETWORKS AND SOLUTIONS US,"OutsourceIT Inc., NITEL, N.I. Investments, LLC, and Queo Solutions, Inc. (overlap=2); Dobson Technologies, Transport and Telecom Solutions, LLC. (overlap=2); CMC Networks Solutions, LLC (overlap=2)"
Northrop Grumman Systems Corporation,NORTHROP GRUMMAN SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
NSi Industries LLC,NSI INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Nuance Communications Inc,NUANCE COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
"Nuance Communications, Inc.",NUANCE COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
"Nuance Communications, Inc.",NUANCE COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
Nucor Corporation,NUCOR,None
Nucor Corporation,NUCOR,None
"NVR Settlement Services of Maryland, Inc.",NVR SETTLEMENT SERVICES OF MARYLAND,"American Communication Services of Maryland, Inc. (overlap=3); Consolidated Communications Telecom Services of Texas Company (overlap=2); Consolidated Communications Telecom Services of Fort Bend Company (overlap=2)"
"Oceaneering International, Inc.",OCEANEERING INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Okta Inc,OKTA,None
"Okta, Inc",OKTA,None
"Okta, Inc.",OKTA,None
"Okta, Inc.",OKTA,None
"On Q Financial, LLC",ON Q FINANCIAL,"On Call Paging (overlap=1); Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); Log On America, Inc. (overlap=1)"
"oneZero Financial Systems, LLC",ONEZERO FINANCIAL SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Oracle Corporation,ORACLE,None
"Oracle USA, Inc.",ORACLE,None
"Oracle USA, Inc.",ORACLE,None
"Orbus Visual Communications, LLC",ORBUS VISUAL COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
PACCAR,PACCAR,None
Pallet Logistics of America,PALLET LOGISTICS OF AMERICA,"Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2)"
Paramount,PARAMOUNT,"Paramount Payphone Eastern, LLC (overlap=1); Paramount Payphone Eastern, LLC (overlap=1); Paramount Payphone Pacific (overlap=1)"
Paramount Global,PARAMOUNT GLOBAL,Global Valley Networks (overlap=1); Global Valley Networks (overlap=1); Global Valley Networks (overlap=1)
Parker-Hannifin Corporation,PARKERHANNIFIN,None
"Paycom Payroll, LLC",PAYCOM PAYROLL,None
PayPal Inc.,PAYPAL,None
"PayPal, Inc.",PAYPAL,None
Paysafe Group Holdings Limited,PAYSAFE GROUP HOLDINGS LIMITED,Connect Holdings Limited (overlap=2); Connect Holdings Limited (overlap=2); Connect Holdings Limited (overlap=2)
"Pendrick Capital Partner Holdings, LLC",PENDRICK CAPITAL PARTNER HOLDINGS,"Partner Communications Cooperative (overlap=1); Partner Communications Cooperative (overlap=1); Palmer Wireless Holdings, Inc. (overlap=1)"
"PepsiCo, Inc.",PEPSICO,None
"Perry Johnson & Associates, Inc.",PERRY JOHNSON & ASSOCIATES,"Sniderman's &  Associates, Inc. (overlap=2); C & S Phone Associates, Inc. (overlap=2); Presnell & Associates (overlap=2)"
"Perry Johnson, Inc.",PERRY JOHNSON,CN Johnson Holding (overlap=1); Johnson Tel. Co. (overlap=1); Johnson Telephone Company (overlap=1)
Pfizer Inc,PFIZER,None
Polaris Industries Inc.,POLARIS INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Professional Compounding Centers of America, Inc.",PROFESSIONAL COMPOUNDING CENTERS OF AMERICA,"Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2)"
Professional Golfers' Association of America,PROFESSIONAL GOLFERS ASSOCIATION OF AMERICA,"Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2)"
PULAU Corporation,PULAU,None
"Regeneron Pharmaceuticals, Inc.",REGENERON PHARMACEUTICALS,None
Republic Services,REPUBLIC SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
Republic Services,REPUBLIC SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
Republic Services,REPUBLIC SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"Republic Services, Inc",REPUBLIC SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"Republic Services, Inc.",REPUBLIC SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"Republic Services, Inc.",REPUBLIC SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"Republic Services, Inc.",REPUBLIC SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"Robinson Waters & O'Dorisio, P.C.",ROBINSON WATERS & ODORISIO PC,PC Richard & Son L.I. Corp. (overlap=2); PC Richard & Son L.I. Corp. (overlap=2); Acadian PC & Network Services. LLC (overlap=2)
"Rochester Industries Placement, Inc.",ROCHESTER INDUSTRIES PLACEMENT,"Rochester Tel. Co. Inc. (overlap=1); Rochester Telephone Company, Inc. (overlap=1); Frontier Telephone of Rochester, Inc. (overlap=1)"
Roku Inc,ROKU,None
Roku Inc.,ROKU,None
"Roku, Inc.",ROKU,None
"Roku, Inc.",ROKU,None
"S&G Financial, LLC",S&G FINANCIAL,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1)"
SAE International,SAE INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
salesforce.com,SALESFORCECOM,None
Salesforce.com,SALESFORCECOM,None
SCM Group,SCM GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Seagate Technology LLC,SEAGATE TECHNOLOGY,"Alternate Communications Technology, Inc. (overlap=1); ConvergeOne Technology Utilities (overlap=1); ConvergeOne Technology Utilities (overlap=1)"
Seagate US LLC,SEAGATE US,U.S. Cellular (overlap=1); US Cellular (overlap=1); U.S. Cellular (overlap=1)
Seagate US LLC,SEAGATE US,U.S. Cellular (overlap=1); US Cellular (overlap=1); U.S. Cellular (overlap=1)
"Seim Johnson, LLP",SEIM JOHNSON LLP,CN Johnson Holding (overlap=1); Johnson Tel. Co. (overlap=1); Johnson Telephone Company (overlap=1)
ServiceNow Inc.,SERVICENOW,None
Shawmut Communications Group,SHAWMUT COMMUNICATIONS GROUP,"Lakeland Communications Group, LLC (overlap=2); Communications Buying Group, Inc. (overlap=2); Communications Buying Group, Inc. (overlap=2)"
Sierra Pacific Industries,SIERRA PACIFIC INDUSTRIES,Pacific Bell Telephone Company (overlap=1); Pacific Bell Wireless (overlap=1); Sierra Tel. Co. Inc. (overlap=1)
Sierra Pacific Industries,SIERRA PACIFIC INDUSTRIES,Pacific Bell Telephone Company (overlap=1); Pacific Bell Wireless (overlap=1); Sierra Tel. Co. Inc. (overlap=1)
"Sinclair Broadcast Group, Inc",SINCLAIR BROADCAST GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
"Sinclair Broadcast Group, Inc.",SINCLAIR BROADCAST GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
"Sinclair Broadcast Group, Inc.",SINCLAIR BROADCAST GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
"Sinclair Broadcast Group, Inc.",SINCLAIR BROADCAST GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Sirius XM Radio Inc,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Radio Inc.,SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
"Sirius XM Radio, Inc.",SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
"Sirius XM Radio, Inc.",SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
"Sirius XM Radio, Inc.",SIRIUS XM RADIO,"Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1); Radio Paging Service (overlap=1)"
Sirius XM Satellite Radio,SIRIUS XM SATELLITE RADIO,"CalAmp Radio Satellite Integrators, Inc. (overlap=2); Lubbock Radio Paging Service, Inc. (overlap=1); Radio Paging Service LLC (overlap=1)"
Snap Inc.,SNAP,"Snap Telecommunications, Inc. (overlap=1); Snap Telecommunications (overlap=1); Snap Telecommunications, Inc. (overlap=1)"
Snap-on Incorporated,SNAPON,None
Snap-on Incorporated,SNAPON,None
"Snap-on, Inc.",SNAPON,None
Snowflake Inc.,SNOWFLAKE,None
Snowflake Inc.,SNOWFLAKE,None
Sony Card Marketing & Services Company,SONY CARD MARKETING & SERVICES,L & C Phone Services (overlap=2); L & C Phone Services (overlap=2); R & P Sales and Services (overlap=2)
Sony Corporation of America,SONY CORPORATION OF AMERICA,Telehouse International Corporation of America (overlap=3); Telehouse International Corporation of America (overlap=3); Telehouse International Corporation of America (overlap=3)
Sony Electronics Inc.,SONY ELECTRONICS,"Cude Electronics, Inc. (overlap=1); Cude Electronics, Inc. (overlap=1); Cude Electronics (overlap=1)"
Sony Interactive Entertainment,SONY INTERACTIVE ENTERTAINMENT,"Cingular Interactive, LP (overlap=1); Cingular Interactive (overlap=1); CSG Interactive Messaging, Inc (overlap=1)"
Sony Interactive Entertainment,SONY INTERACTIVE ENTERTAINMENT,"Cingular Interactive, LP (overlap=1); Cingular Interactive (overlap=1); CSG Interactive Messaging, Inc (overlap=1)"
Sony Interactive Entertainment LLC,SONY INTERACTIVE ENTERTAINMENT,"Cingular Interactive, LP (overlap=1); Cingular Interactive (overlap=1); CSG Interactive Messaging, Inc (overlap=1)"
"Sony Interactive Entertainment, LLC",SONY INTERACTIVE ENTERTAINMENT,"Cingular Interactive, LP (overlap=1); Cingular Interactive (overlap=1); CSG Interactive Messaging, Inc (overlap=1)"
Sony Network Entertainment America Inc.,SONY NETWORK ENTERTAINMENT AMERICA,"Network America (overlap=2); Education Network of America (overlap=2); IP Network America, LLC (overlap=2)"
Sony Online Entertainment,SONY ONLINE ENTERTAINMENT,"American OnLine Communications, Inc. (overlap=1); Home Box Office, a Division of Time Warner Entertainment (overlap=1); U.S. OnLine (overlap=1)"
Sony Online Entertainment,SONY ONLINE ENTERTAINMENT,"American OnLine Communications, Inc. (overlap=1); Home Box Office, a Division of Time Warner Entertainment (overlap=1); U.S. OnLine (overlap=1)"
Sony Online Entertainment LLC,SONY ONLINE ENTERTAINMENT,"American OnLine Communications, Inc. (overlap=1); Home Box Office, a Division of Time Warner Entertainment (overlap=1); U.S. OnLine (overlap=1)"
Sony Pictures,SONY PICTURES,None
Sony Pictures Entertainment Inc,SONY PICTURES ENTERTAINMENT,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); Windstream Lexcom Entertainment, LLC. (overlap=1); Platinum Touch Entertainment, LLC. (overlap=1)"
Sony Pictures Entertainment Inc.,SONY PICTURES ENTERTAINMENT,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); Windstream Lexcom Entertainment, LLC. (overlap=1); Platinum Touch Entertainment, LLC. (overlap=1)"
"Sony Pictures Entertainment, Inc.",SONY PICTURES ENTERTAINMENT,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); Windstream Lexcom Entertainment, LLC. (overlap=1); Platinum Touch Entertainment, LLC. (overlap=1)"
"Sony Pictures Entertainment, Inc.",SONY PICTURES ENTERTAINMENT,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); Windstream Lexcom Entertainment, LLC. (overlap=1); Platinum Touch Entertainment, LLC. (overlap=1)"
Sorenson Communications,SORENSON COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
SOS International,SOS INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Southwest Airlines Co.,SOUTHWEST AIRLINES,Frontier Southwest Incorporated (overlap=1); Frontier Southwest Incorporated (overlap=1); Frontier Southwest Incorporated (overlap=1)
Southwest Airlines Co.,SOUTHWEST AIRLINES,Frontier Southwest Incorporated (overlap=1); Frontier Southwest Incorporated (overlap=1); Frontier Southwest Incorporated (overlap=1)
Southwest Binding & Laminating,SOUTHWEST BINDING & LAMINATING,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
"SP Industries, Inc.",SP INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Spotify USA Inc.,SPOTIFY,None
Sprint Business,SPRINT BUSINESS,"GE Business Productivity Solutions, Inc. (overlap=1); Sprint - Missouri, Inc (overlap=1); Sprint Missouri, Inc (overlap=1)"
Sprint Nextel,SPRINT NEXTEL,"Sprint - Missouri, Inc (overlap=1); Sprint Missouri, Inc (overlap=1); Sprint- Minnesota, Inc. (overlap=1)"
Sprint Nextel,SPRINT NEXTEL,"Sprint - Missouri, Inc (overlap=1); Sprint Missouri, Inc (overlap=1); Sprint- Minnesota, Inc. (overlap=1)"
SRI International,SRI INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"STG International, Inc.",STG INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Student Transportation of America, Inc.",STUDENT TRANSPORTATION OF AMERICA,"Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2)"
"SupraNet Communications, Inc.",SUPRANET COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
"SVAM International, Inc.",SVAM INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Synergy Healthcare Services,SYNERGY HEALTHCARE SERVICES,ENA HEALTHCARE SERVICES LLC (overlap=2); Synergy Telecom Services Co Inc. (overlap=2); Synergy Telecom Services Co Inc. (overlap=2)
Synergy Healthcare Services,SYNERGY HEALTHCARE SERVICES,ENA HEALTHCARE SERVICES LLC (overlap=2); Synergy Telecom Services Co Inc. (overlap=2); Synergy Telecom Services Co Inc. (overlap=2)
Sysco Corporation,SYSCO,None
"SysInformation Healthcare Services, LLC",SYSINFORMATION HEALTHCARE SERVICES,"ENA HEALTHCARE SERVICES LLC (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"T. Rowe Price Retirement Plan Services, Inc.",T ROWE PRICE RETIREMENT PLAN SERVICES,"W. T. Services, Inc. (overlap=2); W. T. Services, Inc. (overlap=2); The Aloha MarketPlace I T Services (overlap=2)"
"T. Rowe Price Retirement Plan Services, Inc.",T ROWE PRICE RETIREMENT PLAN SERVICES,"W. T. Services, Inc. (overlap=2); W. T. Services, Inc. (overlap=2); The Aloha MarketPlace I T Services (overlap=2)"
"T.R.A. Industries, Inc.",TRA INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
TALX Corporation,TALX,None
TALX Corporation,TALX,None
TALX Corporation,TALX,None
TALX Corporation,TALX,None
"TDC Financial, Inc.",TDC FINANCIAL,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); TDC Carrier Services USA, Inc. (overlap=1); TDC (overlap=1)"
"Tedder Industries, LLC",TEDDER INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
The Boeing Company,THE BOEING,"The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1); The Golden Belt Telephone Association, Inc. (overlap=1)"
The Delta Companies,THE DELTA COMPANIES,"The Release Companies LLC (overlap=2); The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1)"
The Est̩e Lauder Companies Inc.,THE EST̩E LAUDER COMPANIES,"The Release Companies LLC (overlap=2); The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1)"
The Est̩e Lauder Companies Inc.,THE EST̩E LAUDER COMPANIES,"The Release Companies LLC (overlap=2); The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1)"
The Est̩e Lauder Companies Inc.,THE EST̩E LAUDER COMPANIES,"The Release Companies LLC (overlap=2); The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1)"
The Hershey Company,THE HERSHEY,"The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1); The Golden Belt Telephone Association, Inc. (overlap=1)"
The Home Depot,THE HOME DEPOT,The Home Telephone Company (overlap=2); The Home Telephone Company (overlap=2); The Home Telephone Company (overlap=2)
"The iRemedy Healthcare Companies, Inc.",THE IREMEDY HEALTHCARE COMPANIES,"The Release Companies LLC (overlap=2); The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1)"
The J.M. Smucker Company,THE JM SMUCKER,"The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1); The Golden Belt Telephone Association, Inc. (overlap=1)"
"The Mosaic Tile Company of Virginia, Inc.",THE MOSAIC TILE COMPANY OF VIRGINIA,Sprint/United Telephone Company of the West (overlap=3); Sprint/ United Telephone Company of the West (overlap=3); The Marseilles Telephone Company of Marseilles Illinois (overlap=3)
The Walt Disney Company,THE WALT DISNEY,"The Bayou Telephone Company, Inc. (overlap=1); The Bayou Telephone Company, Inc. (overlap=1); The Golden Belt Telephone Association, Inc. (overlap=1)"
Time Warner Inc.,TIME WARNER,"Time Warner Telecom of Columbus (overlap=2); Time Warner Telecom of Mid South, LP (overlap=2); Time Warner Telecom of Mid South, L.P. (overlap=2)"
Time Warner Inc.,TIME WARNER,"Time Warner Telecom of Columbus (overlap=2); Time Warner Telecom of Mid South, LP (overlap=2); Time Warner Telecom of Mid South, L.P. (overlap=2)"
Time Warner Inc.,TIME WARNER,"Time Warner Telecom of Columbus (overlap=2); Time Warner Telecom of Mid South, LP (overlap=2); Time Warner Telecom of Mid South, L.P. (overlap=2)"
Time Warner Inc.,TIME WARNER,"Time Warner Telecom of Columbus (overlap=2); Time Warner Telecom of Mid South, LP (overlap=2); Time Warner Telecom of Mid South, L.P. (overlap=2)"
TimeWarner,TIMEWARNER,Oceanic TimeWarner Cable (overlap=1)
"T-Mobile US, Inc.",TMOBILE US,U.S. Cellular (overlap=1); US Cellular (overlap=1); U.S. Cellular (overlap=1)
"T-Mobile US, Inc.",TMOBILE US,U.S. Cellular (overlap=1); US Cellular (overlap=1); U.S. Cellular (overlap=1)
Tri Delta,TRI DELTA,"Delta Tel. Co. Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1)"
"Truly Nolen of America, Inc.",TRULY NOLEN OF AMERICA,"Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2)"
"Twitter, Inc.",TWITTER,None
"Tyler Technologies, Inc.",TYLER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
Uber,UBER,Uber Wireless LLP (overlap=1); Uber Wireless LLP (overlap=1); Uber Wireless LLP (overlap=1)
Uber Technologies,UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
Uber Technologies Inc,UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
Uber Technologies Inc,UBER TECHNOLOGIES,RC Technologies (overlap=1); Wheat State Technologies. (overlap=1); Wheat State Technologies (overlap=1)
