cik,grp,pkey,first_date,n_mentions,n_filings,accessions,first_accession,persons,is_ceo,restated_only,vacancy_only,director_only
1543151,director,,2019-05-24,1,1,0001193125-19-157213,0001193125-19-157213,Uber Technologies,0,0,0,1
1543151,director,,2019-12-26,1,1,0001552781-19-000515,0001552781-19-000515,Uber Technologies,0,0,0,1
1543151,director,,2025-02-07,1,1,0001552781-25-000025,0001552781-25-000025,Uber Technologies,0,0,0,1
1543151,exec,chai,2023-08-01,4,3,0001543151-23-000021;0001543151-23-000036;0001552781-23-000389,0001543151-23-000021,Nelson Chai,0,0,0,1
1543151,exec,macdonald,2019-06-07,1,1,0001552781-19-000277,0001552781-19-000277,Andrew Macdonald,0,0,0,1
1543151,exec,messina,2019-06-07,1,1,0001552781-19-000277,0001552781-19-000277,Rebecca Messina,0,0,0,1
1553023,exec,andrews,2016-10-31,1,1,0001104659-16-153088,0001104659-16-153088,Gregory R. Andrews,0,0,0,1
1553023,exec,rai,2018-02-22,2,1,0001553023-18-000025,0001553023-18-000025,Amitabh Rai,0,0,0,1
1564408,director,young,2020-11-12,1,1,0001193125-20-291819,0001193125-20-291819,Chris Young,0,0,0,1
1564408,director,,2021-09-27,1,1,0001193125-21-284200,0001193125-21-284200,None,0,0,0,1
1564408,exec,gorman,2022-08-31,1,1,0001193125-22-234696,0001193125-22-234696,Jeremi Gorman,0,0,0,1
1590895,director,,2022-07-18,1,1,0001193125-22-196372,0001193125-22-196372,Caesars Entertainment,0,0,0,1
1590895,exec,morgan,2022-07-18,1,1,0001193125-22-196372,0001193125-22-196372,Sandra Douglass Morgan,0,0,0,1
1609711,director,carroll,2020-04-23,1,1,0001609711-20-000053,0001609711-20-000053,James Carroll,0,0,0,1
1609711,director,kimball,2018-02-02,2,1,0001609711-18-000020,0001609711-18-000020,Richard H. Kimball,0,0,0,1
1609711,director,mondre,2020-02-10,2,1,0001609711-20-000004,0001609711-20-000004,Greg Mondre,0,0,0,1
1609711,director,parsons,2018-10-03,1,1,0001609711-18-000218,0001609711-18-000218,Bob Parsons,0,0,0,1
1609711,director,rafael,2018-05-08,1,1,0001609711-18-000127,0001609711-18-000127,Elizabeth S. Rafael,0,0,0,1
1609711,director,robel,2022-09-29,3,2,0001609711-22-000118;0001609711-23-000099,0001609711-22-000118,Chuck Robel,0,0,0,1
1609711,director,roslansky,2023-01-25,2,1,0001609711-23-000009,0001609711-23-000009,Ryan Roslansky,0,0,0,1
1609711,director,wagner,2019-08-02,1,1,0001609711-19-000190,0001609711-19-000190,Scott W. Wagner,0,0,0,0
1609711,exec,ah,2020-11-04,1,1,0001609711-20-000141,0001609711-20-000141,Andrew Low Ah,0,0,0,1
1609711,exec,aldrich,2019-02-14,1,1,0001609711-19-000008,0001609711-19-000008,Steven Aldrich,0,0,0,1
1609711,exec,josefsberg,2019-02-14,1,1,0001609711-19-000008,0001609711-19-000008,Arne M. Josefsberg,0,0,0,1
1609711,exec,kelly,2021-02-11,9,2,0001609711-21-000008;0001609711-21-000052,0001609711-21-000008,Nima J. Kelly,0,0,0,1
1609711,exec,lau,2023-10-06,1,1,0001609711-23-000153,0001609711-23-000153,Michele Lau,0,0,0,1
1609711,exec,morrow,2019-07-16,1,1,0001609711-19-000176,0001609711-19-000176,Rebecca Morrow,0,0,0,1
1609711,exec,wagner,2019-08-02,1,1,0001609711-19-000190,0001609711-19-000190,Scott W. Wagner,1,0,0,1
1609711,exec,winborne,2021-02-11,5,1,0001609711-21-000008,0001609711-21-000008,Raymond E. Winborne,0,0,0,1
1632127,director,might,2017-11-08,1,1,0001437749-17-018584,0001437749-17-018584,Thomas O. Might,0,0,0,0
1632127,exec,coyle,2018-04-02,5,2,0001437749-18-006058;0001437749-18-012969,0001437749-18-006058,Kevin P. Coyle,0,0,0,1
1632127,exec,might,2017-11-08,1,1,0001437749-17-018584,0001437749-17-018584,Thomas O. Might,0,0,0,1
1632127,exec,silverman,2017-10-05,5,2,0000950157-17-001405;0000950157-17-001559,0000950157-17-001405,Alan H. Silverman,0,0,0,1
1640147,director,eschenbach,2023-04-07,3,1,0001640147-23-000044,0001640147-23-000044,Carl M. Eschenbach,0,0,0,1
1640147,director,mcmahon,2023-05-24,2,1,0001640147-23-000073,0001640147-23-000073,John D. McMahon,0,0,0,1
1640147,exec,slootman,2024-02-28,2,1,0001640147-24-000033,0001640147-24-000033,Frank Slootman,1,0,0,1
1645590,director,ammann,2024-02-08,1,1,0001645590-24-000016,0001645590-24-000016,Daniel Ammann,0,0,0,1
1645590,director,kurtz,2023-01-30,1,1,0001645590-23-000008,0001645590-23-000008,George R. Kurtz,0,0,0,1
1645590,director,wilderotter,2022-01-24,1,1,0001645590-22-000002,0001645590-22-000002,Mary Agnes Wilderotter,0,0,0,1
1645590,exec,cox,2022-06-21,1,1,0001645590-22-000041,0001645590-22-000041,Jeremy Cox,0,0,0,1
1645590,exec,ricci,2022-06-21,1,1,0001645590-22-000041,0001645590-22-000041,Jeff T. Ricci,0,0,0,1
1645590,exec,robbiati,2023-08-07,2,1,0001645590-23-000079,0001645590-23-000079,Tarek Robbiati,1,0,0,1
1645590,exec,,2024-01-23,1,1,0001645590-24-000004,0001645590-24-000004,None,0,0,0,1
1645590,exec,,2024-01-23,1,1,0001645590-24-000004,0001645590-24-000004,None,0,0,0,1
1660134,director,grady,2023-04-28,1,1,0001193125-23-127592,0001193125-23-127592,Patrick Grady,0,0,0,1
1660134,director,wilson,2022-04-29,1,1,0001193125-22-128099,0001193125-22-128099,Michelle Wilson,0,0,0,1
1660134,exec,kerrest,2023-08-30,1,1,0001660134-23-000044,0001660134-23-000044,Frederic Kerrest,0,0,0,1
1660134,exec,kramer,2022-07-18,1,1,0001193125-22-196321,0001193125-22-196321,Christopher Kramer,0,0,0,1
1660134,exec,runyan,2023-03-01,2,1,0001660134-23-000009,0001660134-23-000009,Jonathan Runyan,0,0,0,1
1660134,exec,st,2022-11-30,1,1,0001660134-22-000055,0001660134-22-000055,Susan St,0,0,0,1
1713683,exec,welch,2018-05-03,1,1,0001193125-18-149450,0001193125-18-149450,William Welch,0,0,0,1
