accession,sub_row,person,title,role_class,action,verb,sentence
0000047111-23-000006,1,Wendy L. Schoppert,director,director,departure,not to stand for re-election,"On February 2, 2023, Wendy L. Schoppert, Chair of the Audit Committee of The Hershey Company (the “Company”), notified the Company of her intention not to stand for re-election as a director at the Company’s 2023 Annual Meeting of Stockholders, currently expected to be held on May 16, 2023."
0000047217-05-000167,1,"Robert E. Knowling, Jr.",Board of Directors,director,departure,retirement,"(b) On September 23, 2005, Robert E. Knowling, Jr. announced his retirement from the Board of Directors of HP, effective as of the adjournment of the HP Board meeting on September 23, 2005 (the “Effective Time”)."
0000047217-05-000167,2,Vercuity Solutions,directors,director,departure,resign,"Mr. Knowling indicated to the Board that as a result of his new duties at Vercuity Solutions, Inc., where he is now Chief Executive Officer, he intends to resign from the boards of directors of all public companies, including HP, on which he now sits."
0001104659-05-057353,1,John H. Hammergren,director,director,election,elect,"(d) (1) On November 18, 2005, the Board of Directors of HP (the “Board”) elected John H. Hammergren as a director effective November 22, 2005 (the “Effective Time”)."
0001104659-05-057353,2,John H. Hammergren,director,director,election,elect,"(3) At the time of this filing, Mr. Hammergren has not been named to serve on any committee of the Board, and the information about whether Mr. Hammergren is expected to be named to serve on any committees of the Board is unavailable at the time of this filing."
0001104659-06-002894,1,John H. Hammergren,director,director,election,elect,"Effective January 11, 2006, John H. Hammergren was appointed to the HR and Compensation Committee and the Technology Committee of the Board of Directors of Hewlett-Packard Company."
0001104659-06-036450,1,Thomas J. Perkins,director,director,departure,resignation,"(b) On May 18, 2006, Thomas J. Perkins announced his resignation as a director of Hewlett-Packard Company (“HP”), effective immediately."
0001104659-06-060568,1,Patricia C. Dunn,executive Chairman of the Board of Directors,other_exec,departure,resigned,"(b) On September 12, 2006, Patricia C. Dunn resigned as non-executive Chairman of the Board of Directors of Hewlett-Packard Company (“HP”) effective at the adjournment of the regularly scheduled meeting of the Board of Directors of HP to be held on January 18, 2007."
0001104659-06-060568,2,Keyworth II,director,director,departure,resigned,"Also on September 12, 2006, Dr. George A. Keyworth II resigned as a director of HP, effective immediately."
0001104659-06-060568,3,Dr. Keyworth,Board,director,departure,resignation,"Dr. Keyworth has confirmed to the HP Board that his resignation is not the result of any disagreement on any matter relating to HP’s operations, policies or practices."
0001104659-06-062623,1,Patricia C. Dunn,executive Chairman of the Board and director,other_exec,departure,resignation,"(b) On September 22, 2006, the Board of Directors of Hewlett-Packard Company (“HP”) accepted the resignation of Patricia C. Dunn as non-executive Chairman of the Board and director, effective immediately."
0001104659-06-062623,2,Patricia C. Dunn,Board,director,departure,Resigns,The text of HP’s press release entitled “Patricia Dunn Resigns from HP Board” is filed with this report as Exhibit 99.1.
0001104659-06-062623,3,Mark V. Hurd,director,director,election,elect,"The HP Board also has appointed Mark V. Hurd, Chief Executive Officer and President of HP, as Chairman of the Board, effective immediately."
0001104659-06-062623,4,Mark Hurd Named,President and CEO,CEO,appointment,Named,"The text of HP’s press release entitled “Mark Hurd Named HP Chairman, in Addition to His Roles as President and CEO” is filed with this report as Exhibit 99.2."
0001104659-06-075980,1,Kennedy Thompson,director,director,election,elect,"(d) On November 16, 2006, the Board of Directors of HP (the “Board”) elected G. Kennedy Thompson as a director effective November 16, 2006."
0001104659-06-075980,2,Kennedy Thompson,director,director,election,elect,"Mr. Thompson has not been named to serve on any committee of the Board, and the information about whether Mr. Thompson is expected to be named to serve on any committees of the Board has not been determined or is unavailable at the time of this filing."
0001104659-06-078068,1,Kennedy Thompson,director,director,election,elect,"Effective November 27, 2006, G. Kennedy Thompson was appointed to the Audit Committee and the Special Litigation Committee of the Board of Directors of HP."
0001104659-06-080577,1,Robert P. Wayman,Executive Vice President and Chief Financial Officer,CFO,departure,retire,"(b) On December 11, 2006, Hewlett-Packard Company (“HP”) announced that Robert P. Wayman will retire as Executive Vice President and Chief Financial Officer of HP effective on December 31, 2006."
0001104659-06-080577,2,Robert P. Wayman,"Executive Vice President and Chief Financial Officer, Mr. Wayman notified the HP board",CFO,departure,resignation,"In connection with his resignation as Executive Vice President and Chief Financial Officer, Mr. Wayman notified the HP board that he will not stand for re-election at the next annual meeting of stockholders."
0001104659-06-080577,3,Robert P. Wayman,Chief Financial Officer,CFO,departure,resignation,"(c) Also on December 11, 2006, HP announced that Catherine A. Lesjak will succeed Mr. Wayman as Executive Vice President and Chief Financial Officer effective upon the effectiveness of Mr. Wayman’s resignation."
0001104659-06-080577,4,Robert P. Wayman,Executive Vice President and Chief Financial Officer effective upon the effectiveness of M,CFO,departure,succeed/replace,"(c) Also on December 11, 2006, HP announced that Catherine A. Lesjak will succeed Mr. Wayman as Executive Vice President and Chief Financial Officer effective upon the effectiveness of Mr. Wayman’s resignation."
0001104659-06-080577,5,Catherine A. Lesjak,Executive Vice President and Chief Financial Officer,CFO,appointment,appointment,"In connection with her appointment as Executive Vice President and Chief Financial Officer, Ms. Lesjak’s salary will be increased to $550,000 per year and her target bonus opportunity for fiscal year 2007 will be increased to 100% of her salary."
0001104659-06-080577,6,Robert P. Wayman,Chief Financial Officer,CFO,departure,retirement,HP’s press release announcing Mr. Wayman’s retirement and Ms. Lesjak’s appointment is filed as Exhibit 99.1 to this report.
0001104659-07-003960,1,Jon E. Flaxman,Controller and Principal Accounting Officer,PAO,departure,resigned,"In connection with his election, Mr. Flaxman resigned his current positions of Controller and Principal Accounting Officer effective immediately prior to the effectiveness of the election of his successor in those positions."
0001104659-07-003960,2,James T. Murrin,Controller and Principal Accounting Officer,PAO,appointment,appointment,"In connection with his appointment as Controller and Principal Accounting Officer , Mr. Murrin’s salary will be increased to $425,000 per year and his target bonus opportunity for fiscal year 2007 will be increased to 75% of his salary."
0001104659-07-041277,1,Joel Z. Hyatt,director,director,election,elect,"On May 17, 2007, the Board of Directors of Hewlett-Packard Company (“HP”) elected Joel Z. Hyatt, the chief executive officer of Current Media, LLC, and John R. Joyce, a managing director at Silver Lake, to serve as directors of HP effective May 17, 2007 (the “Effective Time”)."
0001104659-08-060212,1,Rajiv L. Gupta,"chief executive officer of Rohm and Haas Company, to serve as a director",CEO,appointment,to serve as,"On September 19, 2008, the Board of Directors (the “Board”) of Hewlett-Packard Company (“HP”) elected Rajiv L. Gupta, the current chairman and chief executive officer of Rohm and Haas Company, to serve as a director of HP effective January 14, 2009."
